"tick","Susceptible","Exposed","Infected","Immune","Dead"
177,298054,875,1023,46,2
178,298035,889,1028,46,2
179,298009,908,1035,46,2
180,297991,915,1045,47,2
181,297975,923,1052,48,2
182,297961,930,1057,50,2
183,297941,940,1067,50,2
184,297924,944,1080,50,2
185,297900,958,1090,50,2
186,297880,958,1110,50,2
187,297864,963,1120,51,2
188,297848,967,1131,52,2
189,297821,982,1143,52,2
190,297793,1002,1149,54,2
191,297772,1009,1163,54,2
192,297745,1028,1170,55,2
193,297720,1043,1180,55,2
194,297695,1057,1190,55,3
195,297673,1069,1198,57,3
196,297660,1073,1206,58,3
197,297644,1079,1214,60,3
198,297621,1089,1226,61,3
199,297602,1093,1241,61,3
200,297580,1102,1253,62,3
201,297561,1108,1263,65,3
202,297535,1120,1276,66,3
203,297509,1128,1293,67,3
204,297489,1139,1300,69,3
205,297457,1151,1318,71,3
206,297438,1154,1332,73,3
207,297416,1157,1350,74,3
208,297391,1161,1371,74,3
209,297374,1165,1383,75,3
210,297350,1176,1395,76,3
211,297326,1179,1415,77,3
212,297299,1192,1429,77,3
213,297274,1204,1439,80,3
214,297247,1219,1450,81,3
215,297223,1232,1461,81,3
216,297190,1255,1470,82,3
217,297171,1255,1487,84,3
218,297152,1260,1500,85,3
219,297126,1266,1519,86,3
220,297107,1265,1538,87,3
221,297088,1272,1550,87,3
222,297053,1291,1565,88,3
223,297031,1287,1588,91,3
224,297002,1296,1606,93,3
225,296961,1324,1619,93,3
226,296927,1339,1638,93,3
227,296896,1355,1652,94,3
228,296874,1365,1664,94,3
229,296853,1367,1683,94,3
230,296825,1380,1697,95,3
231,296796,1395,1708,97,4
232,296771,1411,1715,99,4
233,296753,1414,1729,100,4
234,296719,1433,1741,103,4
235,296700,1442,1747,106,5
236,296671,1459,1756,109,5
237,296637,1482,1767,109,5
238,296608,1482,1795,110,5
239,296559,1508,1816,112,5
240,296536,1516,1829,114,5
241,296499,1541,1841,114,5
242,296468,1551,1861,115,5
243,296430,1578,1868,119,5
244,296390,1603,1882,120,5
245,296360,1605,1908,122,5
246,296327,1624,1922,122,5
247,296284,1652,1935,124,5
248,296249,1666,1955,125,5
249,296207,1688,1974,126,5
250,296162,1719,1985,129,5
251,296121,1738,2007,129,5
